circumplex.arousal_custom,circumplex.valence_custom,activity_mean,call_custom,sms_custom,week_day_custom,mood_1_day_before,mood_2_day_before,mood_3_day_before,screen_mean,screen_sum,screen_len,appCat.builtin_mean,appCat.builtin_sum,appCat.builtin_len,appCat.communication_mean,appCat.communication_sum,appCat.communication_len,appCat.entertainment_mean,appCat.entertainment_sum,appCat.entertainment_len,appCat.finance_mean,appCat.finance_sum,appCat.finance_len,appCat.game_mean,appCat.game_sum,appCat.game_len,appCat.office_mean,appCat.office_sum,appCat.office_len,appCat.other_mean,appCat.other_sum,appCat.other_len,appCat.social_mean,appCat.social_sum,appCat.social_len,appCat.travel_mean,appCat.travel_sum,appCat.travel_len,appCat.unknown_mean,appCat.unknown_sum,appCat.unknown_len,appCat.utilities_mean,appCat.utilities_sum,appCat.utilities_len,appCat.weather_mean,appCat.weather_sum,appCat.weather_len,mood,id
0.6222222222222222,0.8222222222222223,0,1.0,0,-2,7.333333333333333,7.2,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,AS14.17
-0.5333333333333333,0.7333333333333333,0,0,0.875,-1,6.6,6.8,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,AS14.08
0.4166666666666667,0.6888888888888888,0,1.0,0,-1,6.2,7.333333333333333,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,AS14.17
-0.16666666666666666,1.0,0,0.4722222222222222,0.75,0,7.0,7.0,7.0,6.707666556040459,20.122999668121377,3,3.527,7.054,2,13.564666666666668,40.694,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,AS14.16
-0.6666666666666666,1.0,0,0.75,0,0,7.0,7.0,7.0,67.78537499904634,542.2829999923706,8,4.7536000000000005,23.768,5,56.35966666666666,338.15799999999996,6,0,0,0,0,0,0,0,0,0,0,0,0,36.97716666666667,221.863,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,AS14.13
0.0,0.6666666666666666,0,0,0.5454545454545454,0,7.0,6.6,6.8,48.03061540310197,624.3980002403255,13,15.109272727272725,166.20199999999997,11,53.676249999999996,214.70499999999998,4,0,0,0,0,0,0,0,0,0,0,0,0,28.689999999999998,200.82999999999998,7,16.5926,82.96300000000001,5,0,0,0,0,0,0,13.062,13.062,1,0,0,0,6.6,AS14.08
0.4041666666666667,0.5041666666666667,0,1.0,1.0,0,6.4,6.2,7.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,AS14.17
0.0,1.3333333333333333,0,0.875,0,1,7.0,7.0,7.0,113.93433334430058,1367.212000131607,12,76.427,76.427,1,70.33435294117648,1195.684,17,1.6245714285714288,11.372000000000002,7,0,0,0,0,0,0,0,0,0,45.40625,181.625,4,0,0,0,0,0,0,0,0,0,9.552333333333332,28.656999999999996,3,0,0,0,8.0,AS14.05
0.31666666666666665,0.45,0,0,1.0,1,7.25,6.4,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,AS14.17
-0.08333333333333333,1.0,0,0.4,1.0,1,7.0,7.0,7.0,81.01533341407777,243.0460002422333,3,22.450083333333335,269.401,12,35.161,35.161,1,0,0,0,0,0,0,0,0,0,0,0,0,172.527,172.527,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,AS14.15
-0.3,1.0833333333333333,0,0.4,0.6666666666666666,1,8.0,7.0,7.0,25.23499996662138,252.3499996662138,10,4.546384615384615,59.102999999999994,13,27.326,191.282,7,0,0,0,0,0,0,0,0,0,0,0,0,29.064,29.064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,AS14.16
-0.6666666666666666,1.1333333333333333,0,0.75,1.0,1,7.0,7.0,7.0,49.405291676521294,7114.362001419067,144,18.143756410256408,1415.2130000000004,78,48.73977477477478,5410.114999999997,111,43.403,173.612,4,0,0,0,0,0,0,0,0,0,49.83990625,1594.8770000000002,32,45.67936842105263,867.9080000000001,19,35.02900000000001,665.5510000000002,19,0,0,0,0,0,0,0,0,0,7.8,AS14.13
0.2,0.6666666666666666,0,0,0.7575757575757577,1,6.6,7.0,6.6,67.62694916886797,3989.9900009632106,59,18.948025,757.921,40,23.689461538461536,615.9259999999998,26,0,0,0,0,0,0,0,0,0,0,0,0,20.255250000000004,243.06300000000002,12,31.564517241379313,915.3710000000001,29,116.12227272727273,1277.345,11,25.749571428571425,180.24699999999999,7,8.29275,33.171,4,0,0,0,7.4,AS14.08
0.0,1.0,0,0.6,0.8333333333333334,2,7.0,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,AS14.12
-0.08333333333333333,0.8333333333333334,0,0.5166666666666667,1.0,2,6.5,7.0,7.0,68.01050007343294,408.0630004405976,6,17.213000000000005,309.834,18,39.87650000000001,159.50600000000003,4,0,0,0,0,0,0,0,0,0,0,0,0,172.527,172.527,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75,AS14.15
-0.3333333333333333,1.3333333333333333,0,0.8333333333333334,0,2,8.0,7.0,7.0,76.74387700034974,14351.104999065405,187,26.372000000000003,1054.8799999999999,40,60.69965340909091,10683.139,176,15.019202702702703,2222.8420000000006,148,0,0,0,0,0,0,0,0,0,31.262874999999998,500.20599999999996,16,128.02466666666666,1152.222,9,0,0,0,18.6877,186.877,10,9.996285714285714,69.97399999999999,7,0,0,0,6.2,AS14.05
